|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      07579|GRB 990523-|  15.808|    0.462|3.0145e-07|     1.7717e-08|1.1731e-06|     5.1695e-08|
|      02591|4B 931018  |        |         |          |               |          |               |
|      05212|4B 960312  |   0.384|    0.097|2.1877e-08|     3.8772e-09|1.3925e-07|     1.3140e-08|
|      01662|4B 920622- |   0.419|    0.142|1.0132e-08|     2.3660e-09|2.6657e-08|     6.6699e-09|
|      02206|4B 930220  |   0.602|    0.114|1.3665e-08|     3.2597e-09|1.2106e-07|     9.8067e-09|
|      07868|GRB 991121 | 112.192|    0.994|3.9909e-06|     3.8981e-08|1.1719e-05|     1.1698e-07|
|      07834|GRB 991101-|        |         |          |               |          |               |
|      07609|GRB 990618 |  52.416|    1.305|1.4283e-06|     3.2094e-08|2.4480e-06|     9.0222e-08|
|      03298|4B 941126- |        |         |          |               |          |               |
|      03766|4B 950819  | 134.496|    6.325|5.4588e-07|     3.8139e-08|1.6445e-06|     9.6375e-08|
|      04216|4B 960102  |  25.472|    2.312|5.0053e-07|     2.0389e-08|1.2691e-06|     5.5824e-08|
|      06230|GRB 970514 |   1.280|    0.771|1.7786e-08|     2.9238e-09|9.8424e-08|     8.6892e-09|
|      03104|4B 940803- |        |         |          |               |          |               |
|      06564|GRB 980109-|  30.720|    4.300|7.3304e-07|     1.9540e-08|1.4424e-06|     5.6321e-08|
|      07344|GRB 990123-|   0.364|    0.343|1.3233e-08|     3.9672e-09|1.2781e-07|     1.1081e-08|
|      06634|GRB 980310-|   0.583|    0.047|0.0000e+00|     4.6969e-09|1.1709e-07|     1.9337e-08|
|      01481|4B 920314- |   1.408|    0.326|3.8342e-08|     1.0721e-08|8.4193e-08|     2.7028e-08|
|      06635|GRB 980310-|   1.152|    0.143|2.9102e-07|     6.1471e-09|4.8617e-07|     1.3498e-08|
|      07580|GRB 990523-|  66.560|   10.378|2.3837e-07|     1.4214e-08|2.5142e-07|     3.9529e-08|
|      07527|GRB 990424-| 253.952|    2.369|3.2713e-06|     5.0926e-08|1.2513e-05|     1.5952e-07|
|      04776|4B 960207  |   0.448|    0.091|4.8194e-08|     3.5196e-09|3.0391e-07|     1.1851e-08|
|      07150|GRB 981011 |        |         |          |               |          |               |
|      02798|4B 940206- |  49.152|    1.223|1.3225e-05|     5.7756e-08|6.5986e-05|     1.8293e-07|
|      07872|GRB 991122 |  36.864|    9.515|1.1214e-07|     2.3083e-08|3.2435e-07|     6.0555e-08|
|      08073|GRB 000412 |  33.024|    2.691|1.3034e-07|     6.4699e-09|3.7369e-07|     1.7586e-08|
|      05514|4B 960623- |        |         |2.5751e-08|     4.2069e-09|1.2841e-08|     9.4200e-09|
|      06425|GRB 971011 |   8.896|    1.145|1.3813e-07|     6.8092e-09|4.3881e-07|     1.8112e-08|
|      06294|GRB 970704-|        |         |2.4480e-07|     1.6267e-08|3.5996e-07|     4.4305e-08|
|      03286|4B 941116  |   2.368|    0.580|5.4083e-09|     9.2340e-09|5.0701e-08|     2.3679e-08|
|      03088|4B 940717- |   5.184|    0.231|1.1550e-07|     2.4269e-08|1.1181e-07|     6.5203e-08|
|      07751|GRB 990904-|        |         |          |               |          |               |
|      07465|GRB 990312 |        |         |          |               |          |               |
|      00685|4B 910816- |  72.512|    2.187|3.1021e-07|     2.5267e-08|1.2106e-07|     4.5884e-08|
|      05731|GRB 961228-|  60.032|    2.120|2.7465e-06|     4.2968e-08|6.9743e-06|     1.2721e-07|
|      01458|4B 920302- |  81.728|    3.350|5.8177e-07|     2.8257e-08|6.8263e-07|     6.9632e-08|
|      03499|4B 950409  |        |         |          |               |          |               |
|      01954|4B 920925- |        |         |          |               |          |               |
|      06309|GRB 970716 |  22.656|    1.605|3.0541e-07|     1.9674e-08|6.6472e-07|     5.7173e-08|
|      03618|4B 950602  |  90.176|    3.905|1.9166e-06|     3.6597e-08|7.8005e-06|     1.0166e-07|
|      06359|GRB 970903-|        |         |          |               |          |               |
|      00465|4B 910629- |  13.824|    2.572|6.1648e-08|     1.4299e-08|2.3565e-07|     4.3579e-08|
